id, token, freq
873, b'er b', 72
874, b' an i', 72
875, b'erb', 72
876, b'Cent', 72
877, b're m', 72
878, b's, the ', 72
879, b'3.', 72
880, b' by a', 72
881, b'85', 72
882, b'\n\nT', 72
883, b'ere a', 72
884, b'.1', 71
885, b' ori', 71
886, b'and 1', 71
887, b'at h', 71
888, b'ently', 71
889, b'mban', 71
890, b'ffere', 71
891, b'mbang', 71
892, b'red in', 71
893, b'and was', 71
894, b'e ra', 71
895, b' acti', 71
896, b'rgani', 71
897, b'\xa0', 70
898, b'ao', 70
899, b'in,', 70
900, b'or c', 70
901, b'o C', 70
902, b'o S', 70
903, b' to e', 70
904, b'ia,', 70
905, b'Q', 69
906, b'e sh', 69
907, b'("', 69
908, b's, i', 69
909, b' coll', 69
910, b'OV', 69
911, b'Is', 69
912, b'ss t', 69
913, b'red to', 69
914, b'ument', 69
915, b'\xad', 68
916, b'ering', 68
917, b'wne', 68
918, b'Ther', 68
919, b' tea', 68
920, b'was o', 68
921, b'ly o', 68
922, b'eature', 68
923, b'ment of', 68
924, b'eiv', 68
925, b'|', 67
926, b' sm', 67
927, b'of m', 67
928, b'a g', 67
929, b'CA', 67
930, b'2)', 67
931, b'tish', 67
932, b' rul', 67
933, b'was in', 67
934, b'mill', 67
935, b'o l', 67
936, b'45', 67
937, b'of the C', 67
938, b'3)', 67
939, b' dist', 67
940, b'Brit', 67
941, b'use o', 67
942, b'm an', 66
943, b'sep', 66
944, b'h and ', 66
945, b'S.', 66
946, b'and M', 66
947, b' bor', 66
948, b' see', 66
949, b'loy', 66
950, b'rine', 66
951, b' ord', 66
952, b'\n\nD', 66
953, b'KO', 66
954, b' suff', 66
955, b'",', 66
956, b'Fen', 66
957, b'o', 65
958, b' in s', 65
959, b'ce in', 65
960, b'and A', 65
961, b'as m', 65
962, b' inf', 65
963, b'iall', 65
964, b'There', 65
965, b') an', 65
966, b'ly in', 65
967, b'Nati', 65
968, b'uly', 65
969, b', and the ', 65
970, b'dv', 64
971, b'an s', 64
972, b'easo', 64
973, b'ly r', 64
974, b'ecia', 64
975, b'da ', 64
976, b' nea', 64
977, b'rren', 64
